Name,Rating
"Democrats
(2014)",7.4
"A Fortunate Man
(2018)",7.2
"Sand Storm
(2016)",6.8
"My Big Night
(2015)",6.1
"Dolphin Tale
(2011)",6.8
"Rang De Basanti
(2006)",8.1
"The Limehouse Golem
(2016)",6.3
"Chuck's Choice
(2017)",6.6
"Pee-wee's Big Holiday
(2016)",6.1
"Dovlatov
(2018)",6.4
"Peter and the Farm
(2016)",7.1
"War on Everyone
(2016)",5.8
"Kahlil Gibran's The Prophet
(2014)",7
"Comedian
(2002)",6.9
"Jack and the Cuckoo-Clock Heart
(2013)",6.9
"Survivor 2017
(2017– )",5.1
"Mother!
(2017)",6.6
"Homecoming: A Film by Beyoncé
(2019)",7.6
"The Bad Kids
(2016)",7
"Circle
(II) (2015)",6
"The Little Hours
(2017)",5.8
"Jimmy Neutron: Boy Genius
(2001)",6.1
"Toni Erdmann
(2016)",7.3
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze
(1991)",6
"Defying the Nazis: The Sharps' War
(2016)",7.1
"Sky Ladder: The Art of Cai Guo-Qiang
(2016)",7.3
"Kill Command
(2016)",5.7
"Raven's Home
(2017– )",7.2
"The 2019 Rock & Roll Hall of Fame Induction Ceremony Red Carpet Live
(2019 TV Special)",0
"Wakefield
(2016)",6.3
"Our Souls at Night
(2017)",6.9
"All About Nina
(2018)",6.2
"Clash of the Titans
(2010)",5.8
"MI-5
(2015)",6.2
"Brooklyn's Finest
(2009)",6.7
"Cardboard Gangsters
(2017)",6.4
"47 Meters Down: Uncaged
(2019)",5
"2019: After the Fall of New York
(1983)",5.5
"The Rolling Stones Olé, Olé, Olé!: A Trip Across Latin America
(2016)",7.4
"The Saint
(1997)",6.2
"Headshot
(II) (2016)",6.3
"Dinner for Schmucks
(2010)",5.9
"IMDb on the Street
(2015–2016)",5.3
"Bedtime Stories
(2008)",6
"Shadow
(2018)",7
"Let There Be Light
(I) (2017)",4.5
"Creep 2
(2017)",6.4
"Strike a Pose
(2016)",7.2
"Command and Control
(2016)",7.3
"Watashi no aozora 2002
(2002– )",0
"Rugrats in Paris
(2000)",6.2
"Triple Threat
(2019)",5.6
"Win It All
(2017)",6.2
"Trailer Park Boys: The Movie
(2006)",7.1
"Ghost Rider
(2007)",5.3
"Horns
(2013)",6.4
"The Spy
(2019)",7.9
"Tamborine
(2018 TV Special)",6.7
"Best Worst Thing That Ever Could Have Happened
(2016)",7.6
"Mercury 13
(2018)",7
"Main Hoon Na
(2004)",7
"The Hurricane Heist
(2018)",5.1
"The Burial of Kojo
(2018)",6.5
"Kevin Hart: What Now?
(2016)",5.9
"Atlantics
(2019)",6.7
"Our Little Sister
(2015)",7.5
"Making Emelie
(2016 Video)",0
"Sierra Burgess Is a Loser
(2018)",5.8
"The Keeping Hours
(2017)",6.3
"Flash of Genius
(2008)",7
"Kabir Singh
(2019)",7
"The Last Exorcism
(2010)",5.7
"Carriers
(2009)",6
"The Short Game
(2013)",7.3
"Notes on Blindness
(2016)",7
"Bobby Sands: 66 Days
(2016)",7.2
"Phantom Boy
(2015)",6.6
"Invader ZIM: Enter the Florpus
(2019 TV Movie)",7.4
"Ginger & Rosa
(2012)",6.2
"Wolf Warrior 2
(2017)",5.9
"Funny, You Don't Look 200: A Constitutional Vaudeville
(1987 TV Movie)",5.1
"Hit and Run
(I) (2012)",6.1
"Candy Jar
(2018)",5.8
"A Night at the Roxbury
(1998)",6.2
"Jupiter Ascending
(2015)",5.3
"The Similars
(2015)",5.8
"Tremors II: Aftershocks
(1996 Video)",5.9
"White Girl
(2016)",5.7
"Mean Dreams
(2016)",6.3
"Ellen DeGeneres: Relatable
(2018 TV Special)",6.5
"Lifechanger
(2018)",5.4
"The 36th Chamber of Shaolin
(1978)",7.6
"Dil Se..
(1998)",7.5
"Rustom
(2016)",7
"Nacho Libre
(2006)",5.9
"Extinction
(2018)",5.8
"Benji
(I) (2018)",6.3
"Animal World
(2018)",6.4
"Morris from America
(2016)",6.3
"Maps to the Stars
(2014)",6.2
"National Bird
(2016)",7
"Thumper
(2017)",5.8
"The Physician
(2013)",7.2
"A Very Murray Christmas
(2015 TV Special)",5.5
"Cult of Chucky
(2017)",5.3
"Gabriel and the Mountain
(2017)",7
"Bon Cop Bad Cop
(2006)",6.7
"La 4ª Compañía
(2016)",6.2
"Johnson Family Vacation
(2004)",4.5
"First Match
(2018)",6.4
"Come Sunday
(2018)",6
"Time Share
(2018)",5.9
"Lady J
(2018)",6.8
"Love Off the Cuff
(2017)",6.5
"E-Team
(2014)",7.1
"Resident Evil: Afterlife
(2010)",5.8
"Knock Down the House
(2019)",7.4
"Andaz Apna Apna
(1994)",8
"Luck by Chance
(2009)",7.1
"Fourth Man Out
(2015)",6.7
"While We're Young
(2014)",6.3
"Bhavesh Joshi Superhero
(2018)",7.6
"Shutter
(II) (2004)",7
"Carrie Pilby
(2016)",6.7
"Bill Burr: Paper Tiger
(2019 TV Special)",8.1
"The Great Raid
(2005)",6.6
"Takers
(2010)",6.2
"Maya Angelou And Still I Rise
(2016)",7.8
"Lez Bomb
(2018)",5.2
"The Quest
(1996)",5.6
"The Breaker Upperers
(2018)",5.9
"Miss Sharon Jones!
(2015)",7.3
"Two and a Half Men
(2003–2015)",7.1
"Yomeddine
(2018)",7.3
"Jagga Jasoos
(2017)",6.4
"No One Killed Jessica
(2011)",7.2
"The Tourist
(I) (2010)",6
"Operation Mekong
(2016)",6.5
"Our Christmas Love Song
(2019 TV Movie)",6.3
"Long Time Running
(2017)",8.1
"Hasan Minhaj: Homecoming King
(2017 TV Special)",8.2
"Middle School: The Worst Years of My Life
(2016)",6.1
"In Search of Fellini
(2017)",6.2
"Secret in Their Eyes
(2015)",6.3
"To Strike
(2013)",7.5
"Alive and Kicking
(1958)",6.6
"Little Monsters
(2019)",6.3
"Conor McGregor: Notorious
(2017)",7.1
"Seoul Searching
(2015)",6.9
"Terrifier
(2016)",5.6
"The Riot Club
(2014)",6
"The Tribes of Palos Verdes
(2017)",5.8
"The Space Between Us
(I) (2017)",6.4
"Bombay Talkies
(2013)",6.6
"A Family Man
(2016)",6.5
"Meditation Park
(2017)",7.1
"Would You Rather
(2012)",5.7
"Dream Big
(2019 Video)",0
"Occupation
(2018)",4.5
"Game Over, Man!
(2018)",5.4
"The Time Machine
(1960)",7.5
"Qarib Qarib Single
(2017)",7.1
"Barakah Meets Barakah
(2016)",6.3
"Te3n
(2016)",7.2
"As Above, So Below
(2014)",6.2
"The Rum Diary
(2011)",6.1
"One Less God
(2017)",4.9
"Race to Witch Mountain
(2009)",5.7
"A Gray State
(2017)",6.2
"Hollywood in Vienna (2011– )

Episode:
Hollywood in Vienna 2018: The World of Hans Zimmer
(2018)",9.4
"The Oath
(2016)",6.4
"Bhool Bhulaiyaa 2
(2022)",5.7
"The Golem
(2018)",5.5
"Weed the People
(2018)",7.3
"The Lonely Island: Natalie's Rap 2.0
(2018 Music Video)",7.8
"Holiday in the Wild
(2019)",6.2
"Bill Nye the Science Guy
(1993–1998)",8.2
"Quién te cantará
(2018)",6.9
"Last Place Trophy
(2016– )",0
"Khoobsurat
(2014)",6.4
"Look Who's Back
(2015)",7
"This Is Not What I Expected
(2017)",6.7
"Joshua: Teenager vs. Superpower
(2017)",7.3
"Paan Singh Tomar
(2012)",8.2
"Popeye
(1980)",5.4
"Toilet: A Love Story
(2017)",7.2
"Mr. Plinkett's Ghostbusters 2016 Review
(2017 Video)",8.6
"Bad Match
(2017)",5.6
"John Mulaney: The Comeback Kid
(2015 TV Special)",7.9
"Lust Stories
(2018)",6.4
"Same Kind of Different as Me
(2017)",6.6
"68 Kill
(2017)",6
"Barry
(II) (2016)",6
"Star Trek: Discovery
(2017–2024)",7.1
"Ten Years
(2015)",6.8
"May the Devil Take You
(2018)",5.9
"Abducted in Plain Sight
(2017)",6.8
"Marc Maron: Too Real
(2017 TV Special)",7.2
"Alone in Berlin
(2016)",6.5
"Ninja Assassin
(2009)",6.3
"Beyond Skyline
(2017)",5.3
"10 Cloverfield Lane
(2016)",7.2
"The Untold Tales of Armistead Maupin
(2017)",7.6
"He Named Me Malala
(2015)",7
"Neon Genesis Evangelion: Death & Rebirth
(1997)",7.2
"Berserk: The Golden Age Arc III - The Advent
(2013)",7.8
"The Bounty Hunter
(I) (2010)",5.5
"Ali Wong: Hard Knock Wife
(2018 TV Special)",7.3
"The Wound
(2017)",6.8
"42 Grams
(2017)",7
"Automata
(I) (2014)",6
"Eat Pray Love
(2010)",5.8
"Highway
(I) (2014)",7.6
"Berserk: The Golden Age Arc III - The Advent
(2013)",7.8
"How to Be a Latin Lover
(2017)",6
"The Outsider
(I) (2018)",6.2
"The Rugrats Movie
(1998)",5.9
"RocknRolla
(2008)",7.2
"The Butterfly's Dream
(2013)",7.7
"Undisputed 4: Boyka
(2016 Video)",6.9
"Concussion
(2015)",7.1
"Berserk: The Golden Age Arc III - The Advent
(2013)",7.8
"Jenny Slate: Stage Fright
(2019 TV Special)",5.8
"Benji
(1974)",6.1
"Chasing Trane: The John Coltrane Documentary
(2016)",7.3
"The Debt Collector
(2018)",5.9
"Class Rank
(2017)",6.5
"Scream 3
(2000)",5.6
"The Most Unknown
(2018)",6.5
"Within Our Gates
(1920)",6.4
"Give My Head Peace
(1998– )",8.2
"14 Blades
(2010)",6.3
"Até o Fim - Flamengo Campeão da Libertadores 2019
(2019)",8.5
"Frankenstein: Day of the Beast
(2011)",3.8
"Hot Girls Wanted
(2015)",6.1
"Mumbai Diaries
(2010)",7
"Iqbal
(2005)",8.1
"Pirates of the Caribbean: On Stranger Tides
(2011)",6.6
"Pope Francis: A Man of His Word
(2018)",6.6
"Satan & Adam
(2018)",7.7
"Someone Great
(2019)",6.2
"Palm Trees in the Snow
(2015)",7.3
"How to Make an American Quilt
(1995)",6.3
"Only God Forgives
(2013)",5.7
"Steal a Pencil for Me
(2007)",7.5
"Cunk & Other Humans on 2019
(2019)",7.4
"A Murder in the Park
(2014)",7.3
"Asura
(2016)",6.7
"Before I Wake
(2016)",6.2
"Workin' Moms
(2017–2023)",7.8
"2 States
(2014)",6.9
"Set It Up
(2018)",6.5
"Amanda Knox
(2016)",6.9
"Unfinished Song
(2012)",6.9
"Udaan
(2010)",8.1
"In the Tall Grass
(2019)",5.5
"Monty Python Live at the Hollywood Bowl
(1982)",7.8
"I Am Number Four
(2011)",6.1
"A Little Chaos
(2014)",6.5
"Lost in London
(I) (2017)",6.1
"Goosebumps 2: Haunted Halloween
(2018)",5.6
"A Tale of Love and Darkness
(2015)",6
"Ek Hazarachi Note
(2014)",7.2
"The Nutcracker and the Four Realms
(2018)",5.6
"Tokyo Idols
(2017)",6.9
"Ein göttlicher Job
(2001)",4.8
"A Patch of Fog
(2015)",6.5
"Star Wars: Forces of Destiny
(2017–2018)",5.4
"Ronny Chieng: Asian Comedian Destroys America
(2019 TV Special)",7.4
"Rampant
(2018)",6.3
"Rolling Thunder Revue
(2019)",7.5
"Earth to Echo
(2014)",5.7
"The Package
(II) (2018)",5.6
"Hans Zimmer Live in Prague
(2017 TV Special)",9.1
"Gurgaon
(2017)",6.4
"Anchor and Hope
(2017)",6.3
"Solomon Kane
(2009)",6.1
"Taylor Swift: Reputation Stadium Tour
(2018 TV Special)",8.4
"Good Burger
(1997)",5.8
"To the Bone
(I) (2017)",6.8
"Like Father
(2018)",6.1
"The Land of Steady Habits
(2018)",6.2
"Chronicle of an Escape
(2006)",7.1
"Emo: The Musical
(2016)",6
"American Son
(2019)",5.9
"I Am Not Madame Bovary
(2016)",6.8
"Kabhi Haan Kabhi Naa
(1994)",7.6
"Susanne Bartsch: On Top
(2017)",6.9
"A Christmas Prince: The Royal Wedding
(2018)",5.3
"Sand Castle
(2017)",6.3
"Clive Davis: The Soundtrack of Our Lives
(2017)",7.5
"Gantz: O
(2016)",7.1
"Happy Anniversary
(I) (2018)",5.7
"Paheli
(2005)",6.4
"The Bleeding Edge
(2018)",7.6
"Juanita
(I) (2019)",6
"Angry Indian Goddesses
(2015)",6.9
"John Mulaney: New in Town
(2012 TV Special)",8.2
"Four Sisters and a Wedding
(2013)",7.2
"A Cinderella Story: Christmas Wish
(2019 Video)",5.3
"Chasing the Dragon
(2017)",6.7
"Friday the 13th
(2009)",5.5
"Terrace House: Tokyo 2019-2020
(2019–2020)",7.4
"Falling Inn Love
(2019)",5.7
"Brain on Fire
(2016)",6.6
"A-X-L
(2018)",5.3
"Jim Gaffigan: Obsessed
(2014 TV Special)",7.6
"Initial D: First Stage
(1998)",8.5
"The Polka King
(2017)",6
"Jaane Tu... Ya Jaane Na
(2008)",7.4
"The Command
(2018)",6.6
"Daddy Issues
(I) (2018)",4.4
"Bill Burr: Let It Go
(2010 TV Special)",8.3
"Jeff Dunham's Very Special Christmas Special
(2008 TV Special)",7.4
"Bill Hicks: Relentless
(1992 Video)",8.5
"Nobody Speak: Trials of the Free Press
(2017)",6.5
"The Captive
(I) (2014)",5.9
"Super Troopers 2
(2018)",6
"Take Me Home Tonight
(2011)",6.3
"Miss Peregrine's Home for Peculiar Children
(2016)",6.7
"What the Health
(2017)",7.2
"Fullmetal Alchemist: Brotherhood
(2009–2010)",9.1
"Natsamrat
(2016)",8.8
"Band of Robbers
(2015)",6
"21 & Over
(2013)",5.8
"Chennai Express
(2013)",6.1
"Been So Long
(2018)",5.5
"The Drug King
(2018)",6.2
"Here Alone
(2016)",5.6
"Reversing Roe
(2018)",7.5
"Mike Birbiglia: The New One
(2019 TV Special)",7.7
"The Edge of Democracy
(2019)",7.3
"Cypher
(2002)",6.7
"Death Note
(I) (2017)",4.6
"S Is for Stanley
(2015)",6.9
"Come and Find Me
(2016)",5.7
"Christmas Vacation 2000
(1999)",4.4
"Christmas Inheritance
(2017)",5.7
"Final Destination 2
(2003)",6.2
"David Brent: Life on the Road
(2016)",6.3
"The Lovers
(I) (2017)",6.1
"Gol Maal
(1979)",8.5
"Planet 51
(2009)",6
"The Peacemaker
(1997)",6
"When the Game Stands Tall
(2014)",6.6
"Khushi
(I) (2003)",4.2
"Waiting for the Hearse
(1985)",8
"Below Her Mouth
(2016)",5.5
"Inferno
(I) (2016)",6.2
"Maple Leaf 'Poultry' Chicken Slaughterhouse, Toronto, 2011
(2012 Video)",0
"Struggle: The Life and Lost Art of Szukalski
(2018)",7.9
"Sex Is Zero 2
(2007)",6
"Devdas
(I) (2002)",7.5
"Louis C.K.: Live at the Comedy Store
(2015 TV Special)",7.8
"Await Further Instructions
(2018)",4.9
"Last Knights
(2015)",6.2
"Rowdy Rathore
(2012)",5.8
"Siren
(I) (2016)",5.3
"Bleach the Movie: Hell Verse
(2010)",7.3
"National Parks Adventure
(2015 TV Movie)",6.3
"6 Balloons
(2018)",5.9
"The Laundromat
(I) (2019)",6.3
"An Interview with God
(2018)",5.8
"The Detour
(2016–2019)",7.7
"The Perfect Date
(I) (2019)",5.8
"Chupke Chupke
(1975)",8.3
"Results
(I) (2015)",5.5
"Æon Flux
(1991–1995)",7.8
"Marco Polo: One Hundred Eyes
(2015 TV Movie)",7.7
"Godzilla
(I) (1998)",5.4
"Jim Gaffigan: Beyond the Pale
(2006 TV Special)",7.8
"The Awakening of Motti Wolkenbruch
(2018)",6.6
"Period: The End of Menstruation?
(2006)",7
"Berlin Calling
(2008)",7.2
"Mr. Student Body President
(2016– )",7.3
"Bo Burnham: Make Happy
(2016 TV Special)",8.3
"The Workshop
(2017)",6.5
"Arthur Christmas
(2011)",7.1
"Metallica: Some Kind of Monster
(2004)",7.5
"Crazy Beautiful You
(2015)",6.9
"Equals
(2015)",6
"Deidra & Laney Rob a Train
(2017)",6
"Aziz Ansari: Right Now
(2019 TV Special)",7.5
"High Flying Bird
(2019)",6.2
"Gabbar Is Back
(2015)",7
"Jeff Dunham: Controlled Chaos
(2011 TV Special)",7.4
"2Close2U
(2017)",6.1
"Pokémon the Movie: I Choose You!
(2017)",6.3
"Tusk
(I) (2014)",5.3
"Cirque du Freak: The Vampire's Assistant
(2009)",5.8
"Lakshya
(2004)",7.8
"Good Luck Charlie
(2010–2014)",7.1
"Be Here Now
(2015)",8.5
"Naruto Shippuden the Movie: Blood Prison
(2011)",7.1
"Teefa In Trouble
(2018)",6.9
"Naruto the Movie: Ninja Clash in the Land of Snow
(2004)",6.6
"Restless Creature: Wendy Whelan
(2016)",7.1
"Burning Sands
(2017)",6
"The Art of the Steal
(2013)",6.3
"Catching the Sun
(2015)",6.6
"Little Evil
(2017)",5.7
"Órbita 9
(2017)",5.9
"Bo Burnham: what.
(2013 TV Special)",8.3
"Naruto Shippûden: The Movie
(2007)",6.7
"The Skin of the Wolf
(2017)",5.8
"The Bad Education Movie
(2015)",5.8
"The Tiger Hunter
(2016)",6
"Norman Lear: Just Another Version of You
(2016)",7.3
"Chalte Chalte
(2003)",6.5
"The Rachel Divide
(2018)",6.3
"Gemini
(2018 Video)",0
"Superstar
(1999)",5.2
"The B-Side
(2016)",6.7
"Enter the Warriors Gate
(2016)",5.4
"Premios Martín Fierro 2016
(2016 TV Special)",0
"Roxanne Roxanne
(2017)",6.2
"Divines
(2016)",7.4
"The Desert Bride
(2017)",6.5
"Cut Bank
(2014)",6.1
"Two Lovers and a Bear
(2016)",6
"Love in the Time of Hysteria
(1991)",6.8
"The Secret Life of Pets 2
(2019)",6.4
"My Entire High School Sinking Into the Sea
(2016)",6.1
"Seven Sundays
(2017)",7.5
"Unacknowledged
(2017)",7
"Hostages
(2017)",6.1
"Vizontele
(2001)",8
"Habibie & Ainun 3
(2019)",7.2
"Cunk & Other Humans on 2019
(2019)",7.4
"The Resistance Banker
(2018)",6.9
"The Bad Batch
(2016)",5.2
"Madras Cafe
(2013)",7.6
"Strictly Ballroom
(1992)",7.2
"Closed Circuit
(2013)",6.2
"Bill Hicks: Sane Man
(1989 Video)",8.3
"Dark Places
(2015)",6.2
"The Christmas Trap
(2018)",5.8
"Laal Rang
(2016)",7.8
"24 Hours to Live
(2017)",5.8
"See You Yesterday
(2019)",5.3
"The Redeemed and the Dominant: Fittest on Earth
(2016)",7.1
"A Wrinkle in Time
(2018)",4.3
"Otherhood
(2019)",6.1
"Loving Annabelle
(2006)",6.3
"Blood Will Tell
(2019)",6.1
"My Name Is Love
(2012)",6.5
"Wake Up Sid
(2009)",7.6
"13 Cameras
(2015)",5.2
"Into the Dark
(2018–2021)",6.3
"Between Worlds
(2018)",3.9
"The 15:17 to Paris
(2018)",5.3
"Ricky Gervais: Humanity
(2018 TV Special)",8
"Wild Wild West
(1999)",4.9
"Trash Fire
(2016)",5.9
"Dream Boat
(2017)",5.4
"Seth Meyers: Lobby Baby
(2019 TV Special)",7.5
"Nil Karaibrahimgil: Organize Isler Bunlar
(2006 Music Video)",6.9
"The Green Inferno
(2013)",5.3
"War Machine
(2017)",6
"Legion
(2010)",5.3
"Kevin Hart: Irresponsible
(2019 TV Special)",6.6
"Unicorn Store
(2017)",5.6
"Trailer Park Boys: Countdown to Liquor Day
(2009)",7.3
"Skiptrace
(2016)",5.6
"Jack Reacher: Never Go Back
(2016)",6.1
"Prescription Thugs
(2015)",6.9
"Righteous Kill
(2008)",6
"Head Count
(2018)",5.4
"Tremors 3: Back to Perfection
(2001 Video)",5.3
"Chaar Sahibzaade
(2014)",7.7
"Goon: Last of the Enforcers
(2017)",5.8
"Pee Mak
(2013)",7.2
"Mindhorn
(2016)",6.3
"Seal Team Six: The Raid on Osama Bin Laden
(2012 TV Movie)",5.7
"It Takes Two
(1995)",5.9
"Mute
(II) (2018)",5.5
"Oklahoma City
(2017)",7.4
"Love Likes Coincidences
(2011)",7.2
"The Christmas Candle
(2013)",6.3
"Belgica
(2016)",6.7
"Ali Wong: Baby Cobra
(2016 TV Special)",7.5
"Igor
(2008)",5.9
"The Trust
(2016)",5.4
"The Incredible Jessica James
(2017)",6.5
"Irreplaceable You
(2018)",6.4
"Detective Dee: The Four Heavenly Kings
(2018)",6.3
"Earth Defense Force 2017
(2006 Video Game)",8.1
"Life After Beth
(2014)",5.7
"The Ivory Game
(2016)",7.8
"Memoir of a Murderer
(2017)",7.2
"The Magician
(2006)",7.4
"6 Years
(2015)",5.5
"IMDb at the Emmys
(2016– )",4.3
"Anesthesia
(2016 Video)",0
"Aamir
(2008)",7.6
"Smart People
(2008)",6.1
"At First Light
(I) (2018)",5.6
"All the Boys Love Mandy Lane
(2006)",5.5
"Imagine That
(2009)",5.6
"Wanda Sykes: Not Normal
(2019 TV Special)",7.3
"The Do-Over
(2016)",5.7
"American Hangman
(2019)",5.9
"Semana Santa
(2015)",6
"How I Met Your Mother
(2005–2014)",8.3
"Walk With Me
(I) (2017)",6.3
"Mr. Stink
(2012 TV Movie)",6.6
"The Last Days of Chez Nous
(1992)",6.5
"13 Reasons Why
(2017–2020)",7.5
"Hot Girls Wanted: Turned On
(2017)",6.6
"InuYasha the Movie 2: The Castle Beyond the Looking Glass
(2002)",7.3
"Kabali
(2016)",6.1
"Come Sunday
(2018)",6
"The Bait for the Angel
(2017)",5.4
"Another Life
(2019–2021)",5.3
"Happy New Year
(I) (2014)",5
"Inconceivable
(2017)",5.2
"Room on the Broom
(2012 TV Movie)",7.5
"St. Agatha
(2014)",0
"Joseph: King of Dreams
(2000 Video)",6.5
"My Little Pony: Equestria Girls - Rainbow Rocks Animated
(2014)",7
"Remember Last Night?
(1935)",6.7
"Bawarchi
(1972)",8.1
"Jerry Seinfeld: 'I'm Telling You for the Last Time'
(1998 TV Special)",7.8
"Message from the King
(2016)",6.4
"Aziz Ansari: Buried Alive
(2013 TV Special)",7.2
"Beyond the Clouds
(1995)",6.4
"Trespass Against Us
(I) (2016)",5.8
"Standoff
(I) (2016)",6.1
"I Am Michael
(2015)",5.6
"Neal Brennan: 3 Mics
(2017 TV Special)",7.9
"InuYasha the Movie 3: Swords of an Honorable Ruler
(2003)",7.6
"Jeff Dunham: Arguing with Myself
(2006 TV Special)",7.9
"Boy Erased
(2018)",6.9
"Baptists at Our Barbecue
(2004)",5.5
"Dream/Killer
(2015)",7.4
"Five Deadly Venoms
(1978)",7
"Manolo: The Boy Who Made Shoes for Lizards
(2017)",6.4
"Acts of Vengeance
(2017)",5.7
"Pokémon the Movie: The Power of Us
(2018)",6.2
"2012
(I) (2009)",5.8
"El Camino Christmas
(2017)",5.7
"Haraamkhor
(2015)",6.3
"Miss Representation
(2011)",7.5
"A Christmas Prince: The Royal Baby
(2019)",5.4
"Crouching Tiger, Hidden Dragon
(2000)",7.9
"5 Flights Up
(2014)",6.2
"Apostle
(2018)",6.3
"Superlopez
(2018)",5.4
"Umrika
(2015)",6.6
"Jim Gaffigan: King Baby
(2009 TV Special)",7.7
"SHOT! The Psycho-Spiritual Mantra of Rock
(2016)",6.8
"Naruto the Movie 2: Legend of the Stone of Gelel
(2005)",6.4
"Inuyasha the Movie: Affections Touching Across Time
(2001)",7.2
"Jim Jefferies: BARE
(2014 TV Special)",8
"Riphagen
(2016)",7.1
"I Am Not an Easy Man
(2018)",6.3
"The Hurricane Heist
(2018)",5.1
"Skydancers
(2014 TV Movie)",7.1
"Paint It Black
(2016)",5.7
"Anthony Jeselnik: Thoughts and Prayers
(2015 TV Special)",7.7
"Duck Butter
(2018)",5.3
"Maktub
(2017)",7.2
"G-Force
(2009)",5.1
"Tall Girl
(2019)",5.2
"Immoral Tales
(1973)",5.6
"The Tuxedo
(2002)",5.4
"Ek Ladki Ko Dekha Toh Aisa Laga
(2019)",5.6
"Bleach: Fade to Black, I Call Your Name
(2008)",7.1
"Take Me
(2017)",6.1
"That Thing Called Tadhana
(2014)",7.3
"Starzan II
(1989)",7.3
"Danny Says
(2015)",6.7
"Wine Country
(2019)",5.5
"Office Christmas Party
(2016)",5.9
"Nothing to Hide
(2018)",6.8
"For Greater Glory: The True Story of Cristiada
(2012)",6.5
"Iliza Shlesinger: Freezing Hot
(2015 TV Special)",6.8
"Telling Tales
(2015)",7.3
"Tanu Weds Manu Returns
(2015)",7.6
"Best in Sex: 2017 AVN Awards
(2017 TV Special)",5.1
"Budhia Singh: Born to Run
(2016)",7.5
"Elstree 1976
(2015)",5.9
"Kevin Hart: Seriously Funny
(2010 TV Special)",7.5
"And Breathe Normally
(2018)",6.9
"The Amityville Horror
(2005)",5.9
"A Plastic Ocean
(2016)",8
"Sample This
(2012)",6.4
"Katt Williams: The Pimp Chronicles Pt. 1
(2006 TV Special)",7.7
"Amar Akbar Anthony
(1977)",7.4
"Mayabazar 2016
(2020)",7.2
"Who Would You Take to a Deserted Island?
(2019)",5.3
"American Circumcision
(2017)",7.2
"Punjab 1984
(2014)",8.3
"Rare Exports
(2010)",6.6
"Sad Hill Unearthed
(2017)",7.3
"Only You
(2014)",7.3
"Dilwale
(2015)",5.1
"Jeremiah Tower: The Last Magnificent
(2016)",6.6
"No Game No Life: Zero
(2017)",7.3
"Taylor Swift Feat. Ed Sheeran, Future: End Game
(2018 Music Video)",7.4
"Silent Hill: Revelation
(2012)",4.9
"The Goods: Live Hard, Sell Hard
(2009)",5.7
"Namastey London
(2007)",7.1
"Trevor Noah: Son of Patricia
(2018 TV Special)",7.3
"Tracers
(2015)",5.6
"A Second Chance
(2014)",6.8
"The New Romantic
(2018)",5.8
"Death Race 2050
(2017 Video)",3.7
"Savage Dog
(2017)",5
"Don
(1978)",7.7
"Bullet Head
(2017)",5.4
"Mission Blue
(2014)",7.9
"2012 Submission of the Night
(2012– )",0
"Dead in a Week Or Your Money Back
(2018)",6.3
"Rodney King
(2017 TV Special)",6.2
"Avicii: True Stories
(2017)",7.6
"Sairat
(2016)",8.3
"Adventures in Public School
(2017)",5.9
"Donald Glover: Weirdo
(2012 TV Special)",7.4
"Starting Over Again
(2014)",6.9
"Puss in Boots: The Three Diablos
(2012 Video)",6.8
"Hulk Vs.
(2009 Video)",6.9
"The Silence of the Lambs
(1991)",8.6
"Jeff Dunham: Beside Himself
(2019 TV Special)",6.9
"The 2018 ESPY Awards
(2018 TV Special)",4.9
"Billu
(2009)",6.4
"Minimalism: A Documentary About the Important Things
(2015)",6.6
"Life in the Doghouse
(2018)",8.4
"Bill Hicks: Revelations
(1993 TV Special)",8.4
"Seventeen
(2019)",7.2
"Catatan Si Boy 2
(1988)",6.3
"Dancing with the Birds
(2019)",8.2
"The Lovers & the Despot
(2016)",6.6
"Battle for Incheon: Operation Chromite
(2016)",6.2
"Polar
(I) (2019)",6.3
"The Dukes of Hazzard
(2005)",5.1
"Blind Detective
(2013)",6.4
"Apex: The Story of the Hypercar
(2016)",7.3
"Naruto Shippuden the Movie: Blood Prison
(2011)",7.1
"Tony Robbins: I Am Not Your Guru
(2016)",6.6
"The Invisible Guardian
(2017)",6.4
"3 Generations
(2015)",6
"Big Top Pee-wee
(1988)",5.1
"Sinister 2
(2015)",5.3
"Season of the Witch
(2011)",5.4
"A Bloody Show: John Wesley Harding & Friends Live at Bumbershoot 2005
(2006 Video)",0
"Chopsticks
(2019)",6.5
"The Outcasts
(2017)",5.4
"Barbie: Princess Charm School
(2011 Video)",6.6
"Buck Rogers in the 25th Century
(1979–1981)",6.9
"Luka Chuppi
(I) (2019)",6.4
"Honey, I Blew Up the Kid
(1992)",4.9
"Garden Party
(2008)",5.5
"Good Kids
(I) (2016)",6.1
"Bill Burr: You People Are All the Same.
(2012 TV Special)",8.2
"The Trailer Park Boys Christmas Special
(2004 TV Movie)",8
"Anthony Jeselnik: Fire in the Maternity Ward
(2019 TV Special)",7.2
"The Tree of Blood
(2018)",6.4
"Game Over, Man!
(2018)",5.4
"Love Per Square Foot
(2018)",7.1
"Take Your Pills
(2018)",6.3
"Rahasya
(2015)",7.6
"Chup Chup Ke
(2006)",6.9
"Trevor Noah: Afraid of the Dark
(2017 TV Special)",7.3
"Chernobyl Diaries
(2012)",5
"Pyaar Ka Punchnama
(2011)",7.6
